Date,Open,High,Low,Close,Volume,Adj Close
2022-12-16,88.2699966430664,89.3499984741211,86.7300033569336,87.86000061035156,146144100,87.86000061035156
2022-12-19,87.51000213623047,87.62999725341797,84.51000213623047,84.91999816894531,83531500,84.91999816894531
2022-12-20,85.33000183105469,86.61000061035156,84.33000183105469,85.19000244140625,74348300,85.19000244140625
2022-12-21,86.18000030517578,87.2300033569336,85.20999908447266,86.7699966430664,59267200,86.7699966430664
2022-12-22,85.5199966430664,85.68000030517578,82.25,83.79000091552734,81431300,83.79000091552734
2022-12-23,83.25,85.77999877929688,82.93000030517578,85.25,57433700,85.25
2022-12-27,84.97000122070312,85.3499984741211,83.0,83.04000091552734,57284000,83.04000091552734
2022-12-28,82.80000305175781,83.4800033569336,81.69000244140625,81.81999969482422,58228600,81.81999969482422
2022-12-29,82.87000274658203,84.55000305175781,82.55000305175781,84.18000030517578,54995900,84.18000030517578
2022-12-30,83.12000274658203,84.05000305175781,82.47000122070312,84.0,62401200,84.0
2023-01-03,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,76706000,85.81999969482422
2023-01-04,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,68885100,85.13999938964844
2023-01-05,85.33000183105469,85.41999816894531,83.06999969482422,83.12000274658203,67930800,83.12000274658203
2023-01-06,83.02999877929688,86.4000015258789,81.43000030517578,86.08000183105469,83303400,86.08000183105469
2023-01-09,87.45999908447266,89.4800033569336,87.08000183105469,87.36000061035156,65266100,87.36000061035156
2023-01-10,87.56999969482422,90.19000244140625,87.29000091552734,89.87000274658203,67756600,89.87000274658203
2023-01-11,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,103126200,95.08999633789062
2023-01-12,96.93000030517578,97.19000244140625,93.5,95.2699966430664,85254800,95.2699966430664
2023-01-13,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,85549400,98.12000274658203
2023-01-17,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,72755000,96.05000305175781
2023-01-18,97.25,99.31999969482422,95.37999725341797,95.45999908447266,79570400,95.45999908447266
2023-01-19,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,69002700,93.68000030517578
2023-01-20,93.86000061035156,97.3499984741211,93.19999694824219,97.25,67481500,97.25
2023-01-23,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,76501100,97.5199966430664
2023-01-24,96.93000030517578,98.08999633789062,96.0,96.31999969482422,66929500,96.31999969482422
2023-01-25,92.55999755859375,97.23999786376953,91.5199966430664,97.18000030517578,94261600,97.18000030517578
2023-01-26,98.23999786376953,99.48999786376953,96.91999816894531,99.22000122070312,68523600,99.22000122070312
2023-01-27,99.52999877929688,103.48999786376953,99.52999877929688,102.23999786376953,87775600,102.23999786376953
2023-01-30,101.08999633789062,101.73999786376953,99.01000213623047,100.55000305175781,70691900,100.55000305175781
2023-01-31,101.16000366210938,103.3499984741211,101.13999938964844,103.12999725341797,66527300,103.12999725341797
2023-02-01,102.52999877929688,106.23999786376953,101.23999786376953,105.1500015258789,80450100,105.1500015258789
2023-02-02,110.25,114.0,108.87999725341797,112.91000366210938,158154200,112.91000366210938
2023-02-03,105.26000213623047,108.77999877929688,102.5199966430664,103.38999938964844,144374800,103.38999938964844
2023-02-06,102.93000030517578,103.94999694824219,100.6500015258789,102.18000030517578,81945200,102.18000030517578
2023-02-07,101.16999816894531,102.41000366210938,98.08000183105469,102.11000061035156,119501300,102.11000061035156
2023-02-08,102.04000091552734,102.66999816894531,98.77999877929688,100.05000305175781,75878300,100.05000305175781
2023-02-09,101.31999969482422,101.77999877929688,97.56999969482422,98.23999786376953,64622500,98.23999786376953
2023-02-10,97.55999755859375,98.81999969482422,96.2300033569336,97.61000061035156,52740100,97.61000061035156
2023-02-13,97.8499984741211,99.68000030517578,96.91000366210938,99.54000091552734,52841500,99.54000091552734
