Date,Open,High,Low,Close,Volume,Adj Close
2022-12-16,136.69000244140625,137.64999389648438,133.72999572753906,134.50999450683594,160156900,132.3870086669922
2022-12-19,135.11000061035156,135.1999969482422,131.32000732421875,132.3699951171875,79592600,130.28077697753906
2022-12-20,131.38999938964844,133.25,129.88999938964844,132.3000030517578,77432800,130.21189880371094
2022-12-21,132.97999572753906,136.80999755859375,132.75,135.4499969482422,85928000,133.3121795654297
2022-12-22,134.35000610351562,134.55999755859375,130.3000030517578,132.22999572753906,77852100,130.1430206298828
2022-12-23,130.9199981689453,132.4199981689453,129.63999938964844,131.86000061035156,63814900,129.7788543701172
2022-12-27,131.3800048828125,131.41000366210938,128.72000122070312,130.02999877929688,69007800,127.97773742675781
2022-12-28,129.6699981689453,131.02999877929688,125.87000274658203,126.04000091552734,85438400,124.05072021484375
2022-12-29,127.98999786376953,130.47999572753906,127.7300033569336,129.61000061035156,75703700,127.56436157226562
2022-12-30,128.41000366210938,129.9499969482422,127.43000030517578,129.92999267578125,77034200,127.87931060791016
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,112117500,123.09602355957031
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,89113600,124.36567687988281
2023-01-05,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,80962700,123.04681396484375
2023-01-06,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,87754700,127.57420349121094
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,70790800,128.09585571289062
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,63896200,128.66671752929688
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,69458900,131.38314819335938
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,71379600,131.30442810058594
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,57809700,132.63307189941406
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,63646600,133.79446411132812
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,69672800,133.07598876953125
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,58280400,133.1350555419922
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,80223600,135.69398498535156
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,81760300,138.8828582763672
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,66435100,140.28045654296875
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,65799300,139.6210479736328
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,54105100,141.68788146972656
2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,70555800,143.62677001953125
2023-01-30,144.9600067138672,145.5500030517578,142.85000610351562,143.0,64015300,140.7430419921875
2023-01-31,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,65874500,142.01263427734375
2023-02-01,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,77663600,143.13465881347656
2023-02-02,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,118339000,148.43963623046875
2023-02-03,148.02999877929688,157.3800048828125,147.8300018310547,154.5,154357300,152.0615234375
2023-02-06,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,69858300,149.3352508544922
2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,83322600,152.2091522216797
2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,64120100,149.52223205566406
2023-02-09,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,56007100,148.4888153076172
2023-02-10,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,57450700,148.853515625
2023-02-13,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,62199000,151.65298461914062
