Date,Open,High,Low,Close,Volume,Adj Close
2023-03-16,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,76161100,153.62442016601562
2023-03-17,156.0800018310547,156.74000549316406,154.27999877929688,155.0,98944600,152.7865753173828
2023-03-20,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,73641400,155.15228271484375
2023-03-21,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,73938300,157.0054473876953
2023-03-22,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,75701800,155.57615661621094
2023-03-23,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,67622100,156.6604461669922
2023-03-24,158.86000061035156,160.33999633789062,157.85000610351562,160.25,59196500,157.96160888671875
2023-03-27,159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,52390300,156.0197296142578
2023-03-28,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,45992200,155.39871215820312
2023-03-29,159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,51305700,158.47418212890625
2023-03-30,161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,49501700,160.04147338867188
2023-03-31,162.44000244140625,165.0,161.91000366210938,164.89999389648438,68749800,162.54518127441406
2023-04-03,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,56976200,163.79705810546875
2023-04-04,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,46278300,163.26480102539062
2023-04-05,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,51511700,161.4214630126953
2023-04-06,162.42999267578125,164.9600067138672,162.0,164.66000366210938,45390100,162.30860900878906
2023-04-10,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,47716900,159.7161865234375
2023-04-11,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,47644200,158.50375366210938
2023-04-12,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,50133100,157.8137664794922
2023-04-13,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,68445600,163.19577026367188
2023-04-14,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,49386500,162.85079956054688
2023-04-17,165.08999633789062,165.38999938964844,164.02999877929688,165.22999572753906,41516200,162.8704833984375
2023-04-18,166.10000610351562,167.41000366210938,165.64999389648438,166.47000122070312,49923000,164.09275817871094
2023-04-19,165.8000030517578,168.16000366210938,165.5399932861328,167.6300048828125,47720200,165.23617553710938
2023-04-20,166.08999633789062,167.8699951171875,165.55999755859375,166.64999389648438,52456400,164.2702178955078
2023-04-21,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,58337300,162.66348266601562
2023-04-24,165.0,165.60000610351562,163.88999938964844,165.3300018310547,41949600,162.96905517578125
2023-04-25,165.19000244140625,166.30999755859375,163.72999572753906,163.77000427246094,48714100,161.43130493164062
2023-04-26,163.05999755859375,165.27999877929688,162.8000030517578,163.75999450683594,45498800,161.4214630126953
2023-04-27,165.19000244140625,168.55999755859375,165.19000244140625,168.41000366210938,64902300,166.0050811767578
2023-04-28,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,55275900,167.25689697265625
2023-05-01,169.27999877929688,170.4499969482422,168.63999938964844,169.58999633789062,52472900,167.16822814941406
2023-05-02,170.08999633789062,170.35000610351562,167.5399932861328,168.5399932861328,48425700,166.13320922851562
2023-05-03,169.5,170.9199981689453,167.16000366210938,167.4499969482422,65136000,165.05877685546875
2023-05-04,164.88999938964844,167.0399932861328,164.30999755859375,165.7899932861328,81235400,163.42247009277344
2023-05-05,170.97999572753906,174.3000030517578,170.75999450683594,173.57000732421875,113453200,171.09141540527344
2023-05-08,172.47999572753906,173.85000610351562,172.11000061035156,173.5,55962800,171.02239990234375
2023-05-09,173.0500030517578,173.5399932861328,171.60000610351562,171.77000427246094,45326900,169.3170928955078
2023-05-10,173.02000427246094,174.02999877929688,171.89999389648438,173.55999755859375,53724500,171.08151245117188
2023-05-11,173.85000610351562,174.58999633789062,172.1699981689453,173.75,49514700,171.268798828125
2023-05-12,173.6199951171875,174.05999755859375,171.0,172.57000732421875,45533100,170.34092712402344
